mls_num,use,type,type_description,street_address,city,list_price,sold_price,list_date,sold_date,days_on_market,list_to_close_days,ratification_to_close_days,list_year,sold_year,,
1002345500,1,listed_coop_sold,sell,14724 Winterfield,Centreville,410000,417000,8/30/18,1/11/19,103,135,32,2018,2019,,#N/A
VAMN100013,1,listed_coop_sold,sell,8919 Quarry,Manassas,339999,340000,8/1/19,10/8/19,8,69,61,2019,2019,,#N/A
VAMN138342,1,listed_coop_sold,sell,9732 Pickett,Manassas,224900,215000,10/17/19,11/15/19,8,30,22,2019,2019,,#N/A
VAPW432086,1,listed_coop_sold,sell,7787 Fern Oak,Manassas,414900,415000,2/13/19,5/30/19,54,107,53,2019,2019,,VAPW432086
VAPW474548,1,listed_coop_sold,sell,10459 Labrador,Manassas,439999,445000,7/25/19,8/29/19,2,36,34,2019,2019,,VAPW474548
VAPW475184,1,listed_coop_sold,sell,8099 Lacy #101,Manassas,210000,212000,7/25/19,8/30/19,14,37,23,2019,2019,,#N/A
VAPW480200,1,listed_coop_sold,sell,4107 Mount Atlas,Haymarket,395000,400000,10/2/19,10/21/19,4,20,16,2019,2019,,VAPW480200
VAMN138052,0,coop_listed_sold,buy,9327 Woodlea,Manassas,169999,160000,10/1/19,12/5/19,33,66,33,2019,2019,,#N/A
VAFQ165798,1,listed_coop_sold,sell,511 Highland Towne,Warrenton,315000,315000,6/22/20,7/6/20,0,15,15,2020,2020,,#N/A
VAMP114154,1,listed_coop_sold,sell,9556 Walker,Manassas Park,255000,255000,7/17/20,8/7/20,14,22,8,2020,2020,,#N/A
VAPW472988,1,listed_coop_sold,sell,5712 Yewing,Gainesville,899999,899999,7/5/19,2/25/20,203,236,33,2019,2020,,VAPW472988
VAPW487094,1,listed_coop_sold,sell,12335 Sherborne,Bristow,524999,527000,2/10/20,4/28/20,3,79,76,2020,2020,,VAPW487094
VAPW487732,1,listed_coop_sold,sell,9625 Laurencekirk,Bristow,524999,522000,2/14/20,3/27/20,7,43,36,2020,2020,,VAPW487732
VAPW498766,1,listed_coop_sold,sell,8634 Newton,Manassas,275000,275000,7/3/20,7/29/20,5,27,22,2020,2020,,#N/A
VAFX1149450,0,coop_listed_sold,buy,5872 Bridgeton #50,Burke,384900,390000,10/14/20,11/30/20,6,48,42,2020,2020,,#N/A
VAMN139398,0,coop_listed_sold,buy,9569 Coggs Bill #102,Manassas,174500,175000,4/28/20,6/30/20,31,64,33,2020,2020,,#N/A
VAPW496830,0,coop_listed_sold,buy,7021 Manahoac,Gainesville,384900,390000,6/18/20,7/31/20,6,44,38,2020,2020,,#N/A
VAPW520948,0,coop_listed_sold,buy,8698 Belle Grove,Manassas,642900,642900,4/26/21,5/27/20,0,-333,-333,2021,2020,,VAPW520948
VALO428754,1,listed_coop_sold,sell,402 Autumn Olive,Sterling,524999,522000,1/11/21,2/26/21,17,47,30,2021,2021,,#N/A
VAPW515698,1,listed_coop_sold,sell,11268 Wortham Crest #08,Manassas,299999,300000,3/11/21,4/2/21,0,23,23,2021,2021,,#N/A
VAPW517998,1,listed_coop_sold,sell,13198 Kirkmichael,Bristow,574999,625000,3/25/21,4/30/21,3,37,34,2021,2021,,VAPW517998
VAMN141710,1,listed_coop_sold,sell,9404 Tarra Ln,Manassas,227500,227500,4/22/21,6/22/21,11,62,51,2021,2021,,#N/A
VAMN141456,1,listed_coop_sold,sell,8886 Quarry Rd,Manassas,424999,438000,3/26/21,5/17/21,6,53,47,2021,2021,,#N/A
VAMN141736,1,listed_coop_sold,sell,8924 Longstreet Dr,Manassas,599999,629000,4/29/21,6/1/21,0,34,34,2021,2021,,VAMN141736
VAPW516932,0,coop_listed_sold,buy,11951 Bluegrass Ct,Nokesville,699999,725000,3/24/21,4/30/21,4,38,34,2021,2021,,VAPW516932
VAMN142132,1,listed_coop_sold,sell,8683 Point of Woods,Manassas,359000,373000,6/10/21,7/9/21,5,30,25,2021,2021,,#N/A
VAFX2004794,0,coop_listed_sold,buy,4300 Valiant,Annandale,700000,700000,7/1/21,6/29/21,0,-1,-1,2021,2021,,#N/A
